名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
指定避難所（宮城野小学校）,仙台市宮城野区東宮城野2-1,"6,841(㎡)","3,400(人)","1,010(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9160595,38.26085651,指定避難所
指定避難所（宮城野中学校）,仙台市宮城野区五輪1-4-25,"6,867(㎡)","3,400(人)","1,295(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8996544,38.26258511,指定避難所
指定避難所（東華中学校）,仙台市宮城野区宮城野2-14-27,"12,683(㎡)","6,300(人)","1,174(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8994809,38.25432283,指定避難所
指定避難所（東宮城野小学校）,仙台市宮城野区東宮城野5-1,"3,913(㎡)","1,900(人)",556(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9194788,38.25918182,指定避難所
指定避難所（原町小学校）,仙台市宮城野区原町2-6-1,"3,780(㎡)","1,800(人)","1,484(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9036018,38.26666074,指定避難所
指定避難所（東仙台小学校）,仙台市宮城野区東仙台5-26-1,"4,714(㎡)","2,300(人)","1,041(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9126168,38.27722363,指定避難所
指定避難所（幸町中学校）,仙台市宮城野区幸町1-15-1,"11,156(㎡)","5,500(人)","1,185(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8937934,38.27717593,指定避難所
指定避難所（西山小学校）,仙台市宮城野区燕沢2-23-1,"6,044(㎡)","3,000(人)",778(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9148856,38.28344226,指定避難所
指定避難所（西山中学校）,仙台市宮城野区燕沢2-21-1,"8,297(㎡)","4,100(人)","1,114(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9167994,38.28282017,指定避難所
指定避難所（鶴谷小学校）,仙台市宮城野区鶴ケ谷3-17,"15,637(㎡)","7,800(人)",932(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.9099895,38.29069191,指定避難所
